Rok,RID VS,RID,přihlášek,"""živých"" přihlášek",přihlášených,"""živých"" přihlášených",přijetí,přijatých,zápisů,zapsaných,Výběrovost,Neúspěšných studií,Cekový počet studií,Procento neuspechu,Absolventi součet,Absolventi procento,forma,fakulta,jméno VŠ
2003,11000,11410,334,283,334,283,146,146,139,139,50.88%,20,139,14.39%,119,85.61%,veřejná,Pedagogická fakulta,Univerzita Karlova
2003,11000,11510,619,465,616,465,118,118,112,112,75.91%,211,272,77.57%,61,22.43%,veřejná,Fakulta tělesné výchovy a sportu,Univerzita Karlova
2004,11000,11110,785,602,777,599,188,186,149,149,75.25%,47,170,27.65%,123,72.35%,veřejná,1. lékařská fakulta,Univerzita Karlova
2004,11000,11120,988,862,971,845,175,172,129,127,85.03%,27,136,19.85%,109,80.15%,veřejná,3. lékařská fakulta,Univerzita Karlova
2004,11000,11130,361,258,353,253,99,98,88,88,65.89%,24,96,25.00%,72,75.00%,veřejná,2. lékařská fakulta,Univerzita Karlova
2004,11000,11150,387,324,386,324,61,61,58,58,82.10%,3,60,5.00%,57,95.00%,veřejná,Lékařská fakulta Hradec Králové,Univerzita Karlova
2004,11000,11160,295,250,295,250,121,121,95,95,62.00%,33,97,34.02%,64,65.98%,veřejná,Farmaceutická fakulta Hradec Králové,Univerzita Karlova
2004,11000,11210,2213,1894,2099,1807,464,450,358,351,81.10%,222,465,47.74%,243,52.26%,veřejná,Filozofická fakulta,Univerzita Karlova
2004,11000,11230,3949,3470,3510,3082,645,606,540,523,84.44%,207,599,34.56%,392,65.44%,veřejná,Fakulta sociálních věd,Univerzita Karlova
2004,11000,11240,1591,1353,1591,1353,685,685,532,532,60.68%,404,581,69.54%,177,30.46%,veřejná,Fakulta humanitních studií,Univerzita Karlova
2004,11000,11260,237,203,235,202,161,161,132,132,34.98%,73,138,52.90%,65,47.10%,veřejná,Katolická teologická fakulta,Univerzita Karlova
2004,11000,11270,250,215,249,214,135,134,128,127,40.47%,54,132,40.91%,78,59.09%,veřejná,Evangelická teologická fakulta,Univerzita Karlova
2004,11000,11280,165,153,161,149,75,74,64,64,58.17%,26,66,39.39%,40,60.61%,veřejná,Husitská teologická fakulta,Univerzita Karlova
2004,11000,11310,3489,2664,2762,2028,1319,997,698,690,73.80%,249,729,34.16%,480,65.84%,veřejná,Přírodovědecká fakulta,Univerzita Karlova
2004,11000,11320,1605,1315,1526,1247,1000,950,613,604,53.38%,454,837,54.24%,383,45.76%,veřejná,Matematicko-fyzikální fakulta,Univerzita Karlova
2004,11000,11410,394,188,392,188,139,139,131,131,30.32%,17,129,13.18%,112,86.82%,veřejná,Pedagogická fakulta,Univerzita Karlova
2004,11000,11510,883,650,863,637,187,187,178,178,72.62%,128,207,61.84%,79,38.16%,veřejná,Fakulta tělesné výchovy a sportu,Univerzita Karlova
2005,11000,11110,1122,857,1109,854,239,239,211,211,75.38%,66,234,28.21%,168,71.79%,veřejná,1. lékařská fakulta,Univerzita Karlova
2005,11000,11120,1227,1036,1202,1014,244,239,196,196,81.08%,39,213,18.31%,174,81.69%,veřejná,3. lékařská fakulta,Univerzita Karlova
2005,11000,11130,596,497,580,484,119,115,76,76,84.71%,20,84,23.81%,64,76.19%,veřejná,2. lékařská fakulta,Univerzita Karlova
2005,11000,11150,178,145,165,133,76,70,60,60,58.62%,19,62,30.65%,43,69.35%,veřejná,Lékařská fakulta Hradec Králové,Univerzita Karlova
2005,11000,11160,310,246,310,246,133,133,89,89,63.82%,21,91,23.08%,70,76.92%,veřejná,Farmaceutická fakulta Hradec Králové,Univerzita Karlova
2005,11000,11210,3124,2645,2892,2466,639,625,506,503,80.87%,253,587,43.10%,334,56.90%,veřejná,Filozofická fakulta,Univerzita Karlova
2005,11000,11230,4596,4057,3873,3448,711,639,532,516,86.89%,206,590,34.92%,384,65.08%,veřejná,Fakulta sociálních věd,Univerzita Karlova
2005,11000,11240,1650,1390,1648,1388,716,715,559,558,59.78%,438,629,69.63%,191,30.37%,veřejná,Fakulta humanitních studií,Univerzita Karlova
2005,11000,11260,228,202,227,202,133,133,113,113,44.06%,47,122,38.52%,75,61.48%,veřejná,Katolická teologická fakulta,Univerzita Karlova
2005,11000,11270,232,173,232,173,115,115,115,115,33.53%,40,109,36.70%,69,63.30%,veřejná,Evangelická teologická fakulta,Univerzita Karlova
2005,11000,11280,178,154,167,146,102,100,83,83,46.10%,41,84,48.81%,43,51.19%,veřejná,Husitská teologická fakulta,Univerzita Karlova
2005,11000,11310,3202,2631,2489,1980,1324,1008,678,673,74.23%,253,734,34.47%,481,65.53%,veřejná,Přírodovědecká fakulta,Univerzita Karlova
2005,11000,11320,1310,1056,1227,981,881,814,544,532,48.48%,404,772,52.33%,368,47.67%,veřejná,Matematicko-fyzikální fakulta,Univerzita Karlova
2005,11000,11410,694,567,678,557,189,189,170,170,70.02%,14,171,8.19%,157,91.81%,veřejná,Pedagogická fakulta,Univerzita Karlova
2005,11000,11510,869,666,855,662,188,188,162,162,75.68%,133,204,65.20%,71,34.80%,veřejná,Fakulta tělesné výchovy a sportu,Univerzita Karlova
2006,11000,11110,707,544,696,539,206,204,150,150,72.43%,62,168,36.90%,106,63.10%,veřejná,1. lékařská fakulta,Univerzita Karlova
2006,11000,11120,1215,1045,1197,1028,212,210,178,178,82.97%,45,180,25.00%,135,75.00%,veřejná,3. lékařská fakulta,Univerzita Karlova
2006,11000,11130,425,322,409,308,91,90,67,67,79.19%,14,68,20.59%,54,79.41%,veřejná,2. lékařská fakulta,Univerzita Karlova
2006,11000,11150,221,194,221,194,64,64,60,60,69.07%,12,62,19.35%,50,80.65%,veřejná,Lékařská fakulta Hradec Králové,Univerzita Karlova
2006,11000,11160,259,207,259,207,130,130,82,82,60.39%,40,87,45.98%,47,54.02%,veřejná,Farmaceutická fakulta Hradec Králové,Univerzita Karlova
2006,11000,11210,4380,3667,3951,3330,951,910,746,740,79.66%,408,819,49.82%,411,50.18%,veřejná,Filozofická fakulta,Univerzita Karlova
2006,11000,11230,4400,3777,3686,3203,749,690,580,561,84.64%,220,631,34.87%,411,65.13%,veřejná,Fakulta sociálních věd,Univerzita Karlova
2006,11000,11240,1421,1202,1421,1202,776,776,585,585,51.33%,436,645,67.60%,209,32.40%,veřejná,Fakulta humanitních studií,Univerzita Karlova
2006,11000,11260,261,218,256,215,172,172,154,154,29.36%,73,161,45.34%,88,54.66%,veřejná,Katolická teologická fakulta,Univerzita Karlova
2006,11000,11270,188,158,187,157,119,118,119,118,24.68%,57,116,49.14%,59,50.86%,veřejná,Evangelická teologická fakulta,Univerzita Karlova
2006,11000,11280,460,389,369,314,280,242,212,201,45.50%,128,217,58.99%,89,41.01%,veřejná,Husitská teologická fakulta,Univerzita Karlova
2006,11000,11310,2913,2447,2183,1780,1423,1066,733,720,70.04%,328,777,42.21%,449,57.79%,veřejná,Přírodovědecká fakulta,Univerzita Karlova
2006,11000,11320,1279,1013,1211,957,619,581,426,415,57.95%,278,560,49.64%,282,50.36%,veřejná,Matematicko-fyzikální fakulta,Univerzita Karlova
2006,11000,11410,3674,3060,3223,2676,830,782,618,604,79.80%,241,629,38.31%,388,61.69%,veřejná,Pedagogická fakulta,Univerzita Karlova
2006,11000,11510,2029,1492,1821,1358,538,503,436,426,70.78%,281,702,40.03%,421,59.97%,veřejná,Fakulta tělesné výchovy a sportu,Univerzita Karlova
2007,11000,11110,603,459,592,454,151,151,107,107,76.69%,63,140,45.00%,77,55.00%,veřejná,1. lékařská fakulta,Univerzita Karlova
2007,11000,11120,787,642,771,626,148,145,119,119,81.46%,30,126,23.81%,96,76.19%,veřejná,3. lékařská fakulta,Univerzita Karlova
2007,11000,11130,235,185,235,185,33,33,26,26,85.95%,2,27,7.41%,25,92.59%,veřejná,2. lékařská fakulta,Univerzita Karlova
2007,11000,11150,398,354,398,354,63,63,61,61,82.77%,6,65,9.23%,59,90.77%,veřejná,Lékařská fakulta Hradec Králové,Univerzita Karlova
2007,11000,11160,229,180,227,180,166,166,99,99,45.00%,60,100,60.00%,40,40.00%,veřejná,Farmaceutická fakulta Hradec Králové,Univerzita Karlova
2007,11000,11210,6416,5121,5081,4153,1429,1241,1081,1055,78.89%,610,1232,49.51%,622,50.49%,veřejná,Filozofická fakulta,Univerzita Karlova
2007,11000,11230,5646,4904,4472,3943,903,817,677,657,86.19%,309,750,41.20%,441,58.80%,veřejná,Fakulta sociálních věd,Univerzita Karlova
2007,11000,11240,1580,1117,1580,1117,757,757,513,513,54.07%,464,628,73.89%,164,26.11%,veřejná,Fakulta humanitních studií,Univerzita Karlova
2007,11000,11260,280,234,280,234,174,174,143,143,38.89%,96,162,59.26%,66,40.74%,veřejná,Katolická teologická fakulta,Univerzita Karlova
2007,11000,11270,237,199,237,199,132,132,118,118,40.70%,53,120,44.17%,67,55.83%,veřejná,Evangelická teologická fakulta,Univerzita Karlova
2007,11000,11280,436,416,343,330,391,306,252,242,39.42%,171,262,65.27%,91,34.73%,veřejná,Husitská teologická fakulta,Univerzita Karlova
2007,11000,11310,3047,2560,2224,1802,1486,1068,757,749,70.43%,291,807,36.06%,516,63.94%,veřejná,Přírodovědecká fakulta,Univerzita Karlova
2007,11000,11320,1212,928,1134,864,802,740,536,527,42.24%,406,684,59.36%,278,40.64%,veřejná,Matematicko-fyzikální fakulta,Univerzita Karlova
2007,11000,11410,4600,3883,4037,3438,1163,1089,831,820,78.60%,346,852,40.61%,506,59.39%,veřejná,Pedagogická fakulta,Univerzita Karlova
2007,11000,11510,1828,1329,1634,1194,523,490,499,489,62.45%,251,480,52.29%,229,47.71%,veřejná,Fakulta tělesné výchovy a sportu,Univerzita Karlova
2008,11000,11110,852,665,843,658,244,241,209,208,68.57%,69,219,31.51%,150,68.49%,veřejná,1. lékařská fakulta,Univerzita Karlova
2008,11000,11120,1009,843,974,813,239,236,189,189,77.58%,48,200,24.00%,152,76.00%,veřejná,3. lékařská fakulta,Univerzita Karlova
2008,11000,11130,361,299,350,291,83,83,61,61,79.60%,19,65,29.23%,46,70.77%,veřejná,2. lékařská fakulta,Univerzita Karlova
2008,11000,11150,244,218,244,218,60,60,56,56,74.31%,9,56,16.07%,47,83.93%,veřejná,Lékařská fakulta Hradec Králové,Univerzita Karlova
2008,11000,11160,245,211,245,211,165,165,105,105,50.24%,56,106,52.83%,50,47.17%,veřejná,Farmaceutická fakulta Hradec Králové,Univerzita Karlova
2008,11000,11210,8086,6487,5769,4787,1935,1568,1331,1288,79.48%,826,1508,54.77%,682,45.23%,veřejná,Filozofická fakulta,Univerzita Karlova
2008,11000,11230,7406,6904,5351,4980,1265,1041,777,735,88.75%,367,837,43.85%,470,56.15%,veřejná,Fakulta sociálních věd,Univerzita Karlova
2008,11000,11240,2977,2541,2968,2541,1045,1045,945,945,62.81%,565,701,80.60%,136,19.40%,veřejná,Fakulta humanitních studií,Univerzita Karlova
2008,11000,11260,277,239,276,238,186,186,160,160,33.05%,96,168,57.14%,72,42.86%,veřejná,Katolická teologická fakulta,Univerzita Karlova
2008,11000,11270,252,235,252,235,232,232,202,202,14.04%,103,208,49.52%,105,50.48%,veřejná,Evangelická teologická fakulta,Univerzita Karlova
2008,11000,11280,568,538,455,430,470,383,318,303,40.89%,225,328,68.60%,103,31.40%,veřejná,Husitská teologická fakulta,Univerzita Karlova
2008,11000,11310,3620,3099,2618,2253,2546,1972,1042,1040,66.38%,606,1116,54.30%,510,45.70%,veřejná,Přírodovědecká fakulta,Univerzita Karlova
2008,11000,11320,1715,1196,1667,1155,1196,1155,775,766,35.20%,717,982,73.01%,265,26.99%,veřejná,Matematicko-fyzikální fakulta,Univerzita Karlova
2008,11000,11410,4068,3484,3544,3069,1333,1250,1036,1025,70.26%,389,1052,36.98%,663,63.02%,veřejná,Pedagogická fakulta,Univerzita Karlova
2008,11000,11510,1559,1148,1447,1077,561,544,471,471,58.97%,257,514,50.00%,257,50.00%,veřejná,Fakulta tělesné výchovy a sportu,Univerzita Karlova
2009,11000,11110,705,487,690,477,257,254,210,210,56.88%,95,233,40.77%,138,59.23%,veřejná,1. lékařská fakulta,Univerzita Karlova
2009,11000,11120,896,786,851,747,201,196,151,151,80.79%,33,155,21.29%,122,78.71%,veřejná,3. lékařská fakulta,Univerzita Karlova
2009,11000,11130,302,213,298,211,76,76,64,64,69.95%,17,67,25.37%,50,74.63%,veřejná,2. lékařská fakulta,Univerzita Karlova
2009,11000,11150,320,282,320,282,73,73,59,59,79.08%,16,59,27.12%,43,72.88%,veřejná,Lékařská fakulta Hradec Králové,Univerzita Karlova
2009,11000,11160,240,213,240,213,155,155,87,87,59.15%,63,93,67.74%,30,32.26%,veřejná,Farmaceutická fakulta Hradec Králové,Univerzita Karlova
2009,11000,11210,7746,6080,5269,4253,2017,1607,1357,1326,77.68%,833,1567,53.16%,733,46.78%,veřejná,Filozofická fakulta,Univerzita Karlova
2009,11000,11230,6999,6500,5016,4657,1367,1103,785,757,87.92%,370,856,43.22%,486,56.78%,veřejná,Fakulta sociálních věd,Univerzita Karlova
2009,11000,11240,2601,2405,2601,2405,1170,1170,749,749,68.86%,642,823,78.01%,181,21.99%,veřejná,Fakulta humanitních studií,Univerzita Karlova
2009,11000,11260,224,203,224,203,173,173,144,144,29.06%,99,148,66.89%,49,33.11%,veřejná,Katolická teologická fakulta,Univerzita Karlova
2009,11000,11270,366,305,363,302,271,269,236,235,22.62%,168,257,65.37%,89,34.63%,veřejná,Evangelická teologická fakulta,Univerzita Karlova
2009,11000,11280,479,409,398,355,383,339,272,262,33.50%,164,282,58.16%,118,41.84%,veřejná,Husitská teologická fakulta,Univerzita Karlova
2009,11000,11310,2714,2161,1987,1524,1328,964,694,691,67.89%,321,732,43.85%,411,56.15%,veřejná,Přírodovědecká fakulta,Univerzita Karlova
2009,11000,11320,1611,1611,1575,1575,1197,1165,784,778,51.33%,779,1009,77.21%,230,22.79%,veřejná,Matematicko-fyzikální fakulta,Univerzita Karlova
2009,11000,11410,4274,3595,3667,3144,1360,1269,994,978,72.35%,457,1026,44.54%,569,55.46%,veřejná,Pedagogická fakulta,Univerzita Karlova
2009,11000,11510,1649,1286,1479,1174,542,518,447,446,65.24%,256,495,51.72%,239,48.28%,veřejná,Fakulta tělesné výchovy a sportu,Univerzita Karlova
2010,11000,11110,707,491,698,482,223,220,197,197,59.88%,96,213,45.07%,117,54.93%,veřejná,1. lékařská fakulta,Univerzita Karlova
2010,11000,11120,940,809,902,776,197,193,154,154,80.96%,50,162,30.86%,112,69.14%,veřejná,3. lékařská fakulta,Univerzita Karlova
2010,11000,11130,498,399,482,392,100,99,68,68,82.96%,33,72,45.83%,39,54.17%,veřejná,2. lékařská fakulta,Univerzita Karlova
2010,11000,11150,434,346,428,344,67,67,59,59,82.95%,9,60,15.00%,51,85.00%,veřejná,Lékařská fakulta Hradec Králové,Univerzita Karlova
2010,11000,11160,249,222,249,222,178,178,105,105,52.70%,69,110,62.73%,41,37.27%,veřejná,Farmaceutická fakulta Hradec Králové,Univerzita Karlova
2010,11000,11210,8233,6693,5804,4865,2085,1676,1421,1395,78.77%,864,1616,53.47%,749,46.35%,veřejná,Filozofická fakulta,Univerzita Karlova
2010,11000,11230,6193,5688,4621,4255,1356,1107,796,758,86.01%,421,870,48.39%,448,51.49%,veřejná,Fakulta sociálních věd,Univerzita Karlova
2010,11000,11240,2591,2388,2591,2388,1054,1054,666,666,72.11%,621,775,80.13%,154,19.87%,veřejná,Fakulta humanitních studií,Univerzita Karlova
2010,11000,11260,300,240,280,232,187,185,163,163,32.08%,105,177,59.32%,72,40.68%,veřejná,Katolická teologická fakulta,Univerzita Karlova
2010,11000,11270,340,300,331,295,275,271,215,215,28.33%,153,233,65.67%,80,34.33%,veřejná,Evangelická teologická fakulta,Univerzita Karlova
2010,11000,11280,453,415,402,372,392,355,305,302,26.51%,199,317,62.78%,118,37.22%,veřejná,Husitská teologická fakulta,Univerzita Karlova
2010,11000,11310,2685,2202,2028,1617,1468,1130,809,802,63.26%,396,877,45.15%,481,54.85%,veřejná,Přírodovědecká fakulta,Univerzita Karlova
2010,11000,11320,1473,1066,1415,1019,1066,1019,667,655,37.43%,665,864,76.97%,198,22.92%,veřejná,Matematicko-fyzikální fakulta,Univerzita Karlova
2010,11000,11410,5406,4866,4451,4051,1747,1568,1288,1269,73.53%,611,1339,45.63%,726,54.22%,veřejná,Pedagogická fakulta,Univerzita Karlova
2010,11000,11510,1725,1378,1542,1259,576,546,482,478,65.02%,258,525,49.14%,267,50.86%,veřejná,Fakulta tělesné výchovy a sportu,Univerzita Karlova
2011,11000,11110,766,561,759,556,235,234,176,176,68.63%,91,182,50.00%,91,50.00%,veřejná,1. lékařská fakulta,Univerzita Karlova
2011,11000,11120,934,813,874,757,238,227,166,166,79.58%,54,173,31.21%,118,68.21%,veřejná,3. lékařská fakulta,Univerzita Karlova
2011,11000,11130,379,288,372,284,79,79,69,69,76.04%,27,69,39.13%,42,60.87%,veřejná,2. lékařská fakulta,Univerzita Karlova
2011,11000,11150,303,251,298,249,59,59,52,52,79.28%,6,52,11.54%,46,88.46%,veřejná,Lékařská fakulta Hradec Králové,Univerzita Karlova
2011,11000,11160,188,143,188,143,142,142,96,96,32.87%,60,100,60.00%,40,40.00%,veřejná,Farmaceutická fakulta Hradec Králové,Univerzita Karlova
2011,11000,11210,7893,6300,5537,4556,1729,1368,1160,1133,81.59%,691,1306,52.91%,613,46.94%,veřejná,Filozofická fakulta,Univerzita Karlova
2011,11000,11230,4695,3717,3649,3007,1236,1037,783,754,78.93%,382,866,44.11%,484,55.89%,veřejná,Fakulta sociálních věd,Univerzita Karlova
2011,11000,11240,2439,2229,2439,2229,686,686,686,686,69.22%,588,756,77.78%,168,22.22%,veřejná,Fakulta humanitních studií,Univerzita Karlova
2011,11000,11260,270,222,252,213,169,164,145,145,34.68%,82,152,53.95%,68,44.74%,veřejná,Katolická teologická fakulta,Univerzita Karlova
2011,11000,11270,342,299,338,296,237,234,200,200,33.11%,147,221,66.52%,73,33.03%,veřejná,Evangelická teologická fakulta,Univerzita Karlova
2011,11000,11280,418,366,367,323,355,318,260,259,28.96%,177,276,64.13%,99,35.87%,veřejná,Husitská teologická fakulta,Univerzita Karlova
2011,11000,11310,2952,2506,2164,1793,1593,1168,791,784,68.44%,412,846,48.70%,434,51.30%,veřejná,Přírodovědecká fakulta,Univerzita Karlova
2011,11000,11320,1133,1025,1027,938,702,639,512,506,50.05%,444,649,68.41%,203,31.28%,veřejná,Matematicko-fyzikální fakulta,Univerzita Karlova
2011,11000,11410,6096,5417,4998,4483,1311,1194,991,980,81.71%,505,1031,48.98%,524,50.82%,veřejná,Pedagogická fakulta,Univerzita Karlova
2011,11000,11510,1751,1453,1558,1310,548,524,481,480,66.90%,292,537,54.38%,244,45.44%,veřejná,Fakulta tělesné výchovy a sportu,Univerzita Karlova
2012,11000,11110,817,628,801,615,284,280,246,246,60.83%,113,258,43.80%,145,56.20%,veřejná,1. lékařská fakulta,Univerzita Karlova
2012,11000,11120,1043,789,974,737,175,169,141,141,82.13%,41,147,27.89%,106,72.11%,veřejná,3. lékařská fakulta,Univerzita Karlova
2012,11000,11130,352,260,352,260,99,99,84,84,67.69%,42,86,48.84%,43,50.00%,veřejná,2. lékařská fakulta,Univerzita Karlova
2012,11000,11150,262,208,258,207,61,61,61,61,70.67%,13,63,20.63%,50,79.37%,veřejná,Lékařská fakulta Hradec Králové,Univerzita Karlova
2012,11000,11160,213,168,213,168,155,155,111,111,33.93%,89,119,74.79%,30,25.21%,veřejná,Farmaceutická fakulta Hradec Králové,Univerzita Karlova
2012,11000,11210,7734,6017,5526,4417,1616,1291,1095,1080,81.80%,636,1236,51.46%,592,47.90%,veřejná,Filozofická fakulta,Univerzita Karlova
2012,11000,11230,4699,3726,3584,2946,1222,1010,765,739,79.47%,406,846,47.99%,440,52.01%,veřejná,Fakulta sociálních věd,Univerzita Karlova
2012,11000,11240,2276,2045,2273,2044,703,703,703,703,65.62%,622,768,80.99%,145,18.88%,veřejná,Fakulta humanitních studií,Univerzita Karlova
2012,11000,11260,237,189,226,181,153,148,132,132,30.16%,76,140,54.29%,63,45.00%,veřejná,Katolická teologická fakulta,Univerzita Karlova
2012,11000,11270,261,247,258,245,230,228,172,172,30.36%,127,193,65.80%,62,32.12%,veřejná,Evangelická teologická fakulta,Univerzita Karlova
2012,11000,11280,484,447,436,402,334,321,254,251,43.18%,173,266,65.04%,91,34.21%,veřejná,Husitská teologická fakulta,Univerzita Karlova
2012,11000,11310,2791,2380,2092,1751,1374,1031,706,698,70.34%,387,761,50.85%,374,49.15%,veřejná,Přírodovědecká fakulta,Univerzita Karlova
2012,11000,11320,987,898,897,819,605,552,425,423,52.67%,361,539,66.98%,173,32.10%,veřejná,Matematicko-fyzikální fakulta,Univerzita Karlova
2012,11000,11410,5436,4788,4443,3933,1273,1152,917,896,80.85%,422,947,44.56%,522,55.12%,veřejná,Pedagogická fakulta,Univerzita Karlova
2012,11000,11510,2293,1999,1933,1699,518,481,426,426,78.69%,282,487,57.91%,205,42.09%,veřejná,Fakulta tělesné výchovy a sportu,Univerzita Karlova
2013,11000,11110,998,734,981,719,265,259,210,210,71.39%,100,222,45.05%,121,54.50%,veřejná,1. lékařská fakulta,Univerzita Karlova
2013,11000,11120,1131,862,1064,806,186,183,158,158,81.67%,63,167,37.72%,103,61.68%,veřejná,3. lékařská fakulta,Univerzita Karlova
2013,11000,11130,363,262,361,262,72,72,61,61,76.72%,25,66,37.88%,41,62.12%,veřejná,2. lékařská fakulta,Univerzita Karlova
2013,11000,11150,72,68,72,68,32,32,30,30,55.88%,11,30,36.67%,19,63.33%,veřejná,Lékařská fakulta Hradec Králové,Univerzita Karlova
2013,11000,11160,340,295,340,295,200,200,123,123,58.31%,82,129,63.57%,47,36.43%,veřejná,Farmaceutická fakulta Hradec Králové,Univerzita Karlova
2013,11000,11210,7065,5340,5010,3968,1364,1083,902,896,83.11%,539,1028,52.43%,480,46.69%,veřejná,Filozofická fakulta,Univerzita Karlova
2013,11000,11230,4813,4190,3729,3237,1098,908,684,662,83.68%,365,755,48.34%,389,51.52%,veřejná,Fakulta sociálních věd,Univerzita Karlova
2013,11000,11240,2094,1910,2090,1907,671,671,671,671,64.87%,618,749,82.51%,129,17.22%,veřejná,Fakulta humanitních studií,Univerzita Karlova
2013,11000,11260,255,208,238,197,146,142,131,130,37.02%,78,139,56.12%,59,42.45%,veřejná,Katolická teologická fakulta,Univerzita Karlova
2013,11000,11270,281,244,274,239,185,182,163,163,33.20%,104,181,57.46%,74,40.88%,veřejná,Evangelická teologická fakulta,Univerzita Karlova
2013,11000,11280,372,359,342,338,334,320,278,276,22.56%,192,290,66.21%,97,33.45%,veřejná,Husitská teologická fakulta,Univerzita Karlova
2013,11000,11310,2636,2235,1965,1643,1429,1077,738,735,66.98%,414,811,51.05%,396,48.83%,veřejná,Přírodovědecká fakulta,Univerzita Karlova
2013,11000,11320,1071,953,963,856,578,518,424,418,55.51%,389,561,69.34%,171,30.48%,veřejná,Matematicko-fyzikální fakulta,Univerzita Karlova
2013,11000,11410,5601,4565,4601,3786,1300,1201,1008,987,77.92%,564,1052,53.61%,478,45.44%,veřejná,Pedagogická fakulta,Univerzita Karlova
2013,11000,11510,2295,1976,1924,1671,536,476,428,425,78.34%,279,494,56.48%,215,43.52%,veřejná,Fakulta tělesné výchovy a sportu,Univerzita Karlova
2014,11000,11110,1010,668,1008,667,210,210,185,185,72.31%,93,197,47.21%,103,52.28%,veřejná,1. lékařská fakulta,Univerzita Karlova
2014,11000,11120,1169,962,1078,878,206,192,121,120,87.42%,56,138,40.58%,81,58.70%,veřejná,3. lékařská fakulta,Univerzita Karlova
2014,11000,11130,391,256,389,256,84,84,67,67,73.83%,30,69,43.48%,39,56.52%,veřejná,2. lékařská fakulta,Univerzita Karlova
2014,11000,11150,37,37,37,37,33,33,30,30,18.92%,13,31,41.94%,18,58.06%,veřejná,Lékařská fakulta Hradec Králové,Univerzita Karlova
2014,11000,11160,305,255,305,255,143,143,99,99,61.18%,64,105,60.95%,41,39.05%,veřejná,Farmaceutická fakulta Hradec Králové,Univerzita Karlova
2014,11000,11210,6147,4777,4309,3445,1408,1098,930,918,80.53%,562,1065,52.77%,494,46.38%,veřejná,Filozofická fakulta,Univerzita Karlova
2014,11000,11230,3868,3386,3033,2643,1048,890,679,658,79.95%,418,754,55.44%,336,44.56%,veřejná,Fakulta sociálních věd,Univerzita Karlova
2014,11000,11240,1899,1745,1895,1743,696,695,651,651,62.69%,644,749,85.98%,103,13.75%,veřejná,Fakulta humanitních studií,Univerzita Karlova
2014,11000,11260,225,155,212,150,127,125,112,112,27.74%,66,125,52.80%,53,42.40%,veřejná,Katolická teologická fakulta,Univerzita Karlova
2014,11000,11270,220,186,219,185,173,172,159,159,14.52%,87,167,52.10%,73,43.71%,veřejná,Evangelická teologická fakulta,Univerzita Karlova
2014,11000,11280,319,319,308,308,284,277,244,244,23.51%,165,257,64.20%,90,35.02%,veřejná,Husitská teologická fakulta,Univerzita Karlova
2014,11000,11310,2461,2132,1836,1563,1488,1114,764,760,64.17%,483,860,56.16%,376,43.72%,veřejná,Přírodovědecká fakulta,Univerzita Karlova
2014,11000,11320,1118,1034,1024,953,741,675,528,525,48.94%,517,723,71.51%,205,28.35%,veřejná,Matematicko-fyzikální fakulta,Univerzita Karlova
